City,NumRecords,Gender,Age,AgeRange,YearOfBirth,TotalDur_sec,AvgDur_sec
Boston,5,Female,83,75 Years or older,1932,4182,836
Boston,2,Female,77,75 Years or older,1938,1457,728
Boston,11,Male,77,75 Years or older,1938,7645,695
Boston,11,Male,76,75 Years or older,1939,4956,450
Boston,16,Male,75,75 Years or older,1940,10131,633
Boston,3,Male,74,65-74 years old,1941,7831,2610
Boston,35,Male,73,65-74 years old,1942,18327,523
Boston,1,Female,72,65-74 years old,1943,2341,2341
Boston,10,Male,72,65-74 years old,1943,4108,410
Boston,24,Male,71,65-74 years old,1944,38439,1601
Boston,16,Female,70,65-74 years old,1945,15674,979
Boston,46,Male,70,65-74 years old,1945,52754,1146
Boston,1,Female,69,65-74 years old,1946,1577,1577
Boston,62,Male,69,65-74 years old,1946,63827,1029
Boston,15,Female,68,65-74 years old,1947,23471,1564
Boston,95,Male,68,65-74 years old,1947,67270,708
Boston,6,Female,67,65-74 years old,1948,4624,770
Boston,72,Male,67,65-74 years old,1948,62522,868
Boston,58,Female,66,65-74 years old,1949,81098,1398
Boston,39,Male,66,65-74 years old,1949,41874,1073
Boston,12,Female,65,65-74 years old,1950,6431,535
Boston,162,Male,65,65-74 years old,1950,124062,765
Boston,5,Female,64,55-64 years old,1951,7171,1434
Boston,111,Male,64,55-64 years old,1951,72926,656
Boston,24,Female,63,55-64 years old,1952,26168,1090
Boston,110,Male,63,55-64 years old,1952,135379,1230
Boston,44,Female,62,55-64 years old,1953,31488,715
Boston,217,Male,62,55-64 years old,1953,245991,1133
Boston,32,Female,61,55-64 years old,1954,25529,797
Boston,134,Male,61,55-64 years old,1954,123229,919
Boston,47,Female,60,55-64 years old,1955,32952,701
Boston,213,Male,60,55-64 years old,1955,183709,862
Boston,82,Female,59,55-64 years old,1956,141568,1726
Boston,230,Male,59,55-64 years old,1956,212981,926
Boston,70,Female,58,55-64 years old,1957,116229,1660
Boston,392,Male,58,55-64 years old,1957,324261,827
Boston,87,Female,57,55-64 years old,1958,168616,1938
